ID,Excerpt,Feature,SubFeature,GoldSummary,t5_summary,flan_t5_summary
88.0,"Well, I think the contract might need some revisions, you know? I mean, there are a few clauses that seem a bit unclear to me. But maybe that's just my interpretation of the language.",Women's Speech,Tentative criticism + collaborative discourse,"The deponent thinks the contract might need revisions because some clauses seem unclear to her, but acknowledges that might just be her interpretation of the language.",there are a few clauses that seem a bit unclear to me . maybe that's just my interpretation of the language .,"I think the contract might need some revisions, you know. But maybe that's just my interpretation of the language."
89.0,"I'm pretty sure the deadline was supposed to be Friday, but I don't want to say that with complete certainty. It's possible I'm remembering wrong, so you might want to double-check that information.",Women's Speech,Qualified assertion + helpful suggestion,"The deponent is pretty sure the deadline was Friday but doesn't want to say that with complete certainty, noting it's possible she's remembering wrong and suggesting to double-check.","it's possible i'm remembering wrong, so you might want to double-check .","I'm pretty sure the deadline was supposed to be Friday, but I don't want to say that with complete certainty."
90.0,"If I remember correctly, and I might not be, the invoice was supposed to be processed last week. But I'm thinking there could have been a delay or something. I hope I'm not causing any confusion here.",Women's Speech,Memory hedging + apologetic concern,"The deponent thinks she remembers the invoice was supposed to be processed last week but acknowledges she might not remember correctly, suggesting there could have been a delay and hoping she's not causing confusion.",the invoice was supposed to be processed last week . but i'm thinking there could have been a delay or something .,"The invoice was supposed to be processed last week, but I'm thinking there could have been a delay."
91.0,"I sort of got the impression that he wasn't entirely comfortable with the arrangement, you know what I mean? But then again, I might be reading too much into his body language. It's just a feeling I had.",Women's Speech,Impression hedging + collaborative checking,"The deponent got the impression he wasn't entirely comfortable with the arrangement but acknowledges she might be reading too much into his body language, describing it as just a feeling.",lz granderson: he wasn't entirely comfortable with the arrangement . he says he might be reading too much into his body language . granderson says it was just a feeling .,"I sort of got the impression that he wasn't entirely comfortable with the arrangement, but then again, I might be reading too much into his body language."
92.0,"I want to say it was Tuesday when we discussed this, but I'm not one hundred percent certain. Actually, now that I think about it, it might have been Wednesday. Sorry, I know that's not very precise.",Women's Speech,Self-correction + apologetic uncertainty,"The deponent wants to say it was Tuesday when they discussed this but isn't certain, then thinks it might have been Wednesday, apologizing for not being precise.","bob greene: it might have been Tuesday, but i'm not one hundred percent certain . he says we discussed this on a tuesday, but that's not very precise . greene says he didn't know if it was Wednesday .","I want to say it was Tuesday when we discussed this, but I'm not one hundred percent certain."
93.0,"Well, from what I could tell, and I don't claim to be an expert or anything, the system seemed to be malfunctioning. But maybe someone with more technical knowledge would see it differently, I suppose.",Women's Speech,Expertise disclaimer + deference,"The deponent says from what she could tell the system seemed to be malfunctioning, but disclaims expertise and acknowledges someone with more technical knowledge might see it differently.",the system seemed to be malfunctioning . but maybe someone with more technical knowledge would see it differently .,"I don't claim to be an expert or anything, but maybe someone with more technical knowledge would see it differently."
94.0,"I believe, though I could be mistaken, that she mentioned something about needing additional resources. But I wasn't really part of that conversation directly, so I might not have the full context.",Women's Speech,Qualified belief + context disclaimer,"The deponent believes she mentioned needing additional resources but could be mistaken, noting she wasn't directly part of the conversation and might not have full context.","lz granderson: i could be mistaken, but she mentioned needing additional resources . he says i wasn't part of conversation directly, so i might not have full context . granderson says she didn't really have the full context of the conversation .","I believe, though I could be mistaken, that she mentioned something about needing additional resources. But I wasn't really part of that conversation directly."
95.0,"It kind of seemed like the client wasn't satisfied with the proposal, if I'm being honest. But I don't want to put words in anyone's mouth. That was just my perception at the time.",Women's Speech,Tentative observation + disclaimer,"The deponent says it seemed like the client wasn't satisfied with the proposal, but doesn't want to put words in anyone's mouth, noting it was just her perception.","the client wasn't satisfied with the proposal, if i'm being honest . but i don't want to put words in anyone's mouth .","I'm not going to put words in anyone's mouth, but I don't want to put words in anyone's mouth."
96.0,"I'm fairly certain, well, reasonably certain anyway, that the payment was processed before the end of the month. Though I suppose there's always a chance I'm confusing it with another transaction.",Women's Speech,Downgraded certainty + alternative possibility,"The deponent is fairly certain the payment was processed before month-end, downgrading to reasonably certain and acknowledging she might be confusing it with another transaction.",the payment was processed before the end of the month . though there's always a chance i'm confusing it with another transaction .,I'm fairly certain that the payment was processed before the end of the month. Though I suppose there's always a chance I'm confusing it with another transaction.
97.0,"If I understood him correctly, and I might not have because it was quite noisy, he said the shipment would arrive Thursday. But you know, I could have misheard. Maybe you should confirm with him directly.",Women's Speech,Conditional understanding + helpful deflection,"The deponent says if she understood correctly, he said the shipment would arrive Thursday, but notes it was noisy and she might have misheard, suggesting to confirm with him directly.","bob greene: if I understood correctly, he said shipment would arrive on friday . he says he could have misheard, but maybe you should confirm with him directly . greene says if he's correct, shipment will arrive Thursday .",I'm not sure if I understood him correctly or if he said the shipment would arrive Thursday.
99.0,"I have a vague recollection of discussing this issue, but I'm not entirely clear on all the details. It might have been during the quarterly review, or possibly earlier. I'm sorry I can't be more specific.",Women's Speech,Vague memory + temporal uncertainty,"The deponent has a vague recollection of discussing the issue but isn't clear on details, thinking it might have been during the quarterly review or earlier, apologizing for lack of specificity.","it might have been during the quarterly review, or perhaps earlier . john sutter: i'm sorry i can't be more specific.","I have a vague recollection of discussing this issue, but I'm not entirely clear on all the details."
100.0,"I tend to think that the problem started when we changed vendors, but that's just my opinion. Others might see it differently, and they could very well be right. I don't have all the information.",Women's Speech,Opinion hedging + deference to others,"The deponent tends to think the problem started when they changed vendors but frames it as just her opinion, acknowledging others might see it differently and could be right as she doesn't have all information.","the problem started when we changed vendors, but that's just my opinion . others might see it differently and they could very well be right .","I think the problem started when we changed vendors, but that's just my opinion. Others might see it differently."
,,,,,,
101.0,"I was, uh, I was walking to the parking lot, and I see—I saw—sorry, I saw the man with the blue jacket. He was, how do you say, he was moving very quickly towards the exit.",L2 Speech,Disfluency + self-correction + processing,"The deponent was walking to the parking lot and saw the man with the blue jacket moving very quickly towards the exit, with some hesitation in recounting the details.","bob greene says he saw a man with a blue jacket in a parking lot . he says the man with the blue jacket was moving very quickly towards the exit . greene: he's a good guy, but he doesn't look like a jerk .","I was, uh, I was walking to the parking lot, and I see—I saw—sorry, I saw the man with the blue jacket."
102.0,"The meeting, it was supposed to be at ten-thirty, but I think—no, I know—it was delayed because the, um, the main presenter, she was not there yet. We wait maybe fifteen minutes.",L2 Speech,Repetition + self-correction + filled pauses,"The deponent explains the meeting was supposed to be at ten-thirty but was delayed because the main presenter wasn't there yet, and they waited maybe fifteen minutes.","the meeting was supposed to be at ten-thirty, but it was delayed . the main presenter was not there yet . we wait maybe fifteen minutes .","It was supposed to be at ten-thirty, but it was delayed because the main presenter was not there yet."
103.0,"Um, the document, I remember it was—it was very important, yes? And, uh, and it had the, the signatures from both parties. I put it in the, how to say, the filing cabinet on the second floor.",L2 Speech,Filled pauses + confirmation seeking + processing,"The deponent remembers the document was very important and had signatures from both parties, explaining they put it in the filing cabinet on the second floor.","the document had the signatures from both parties . it was in the, how to say, the filing cabinet on the second floor .","The document, I remember it was—it was very important, yes? And, uh, and it had the signatures from both parties. I put it in the filing cabinet on the second floor."
104.0,"I-I was trying to understand what he was saying, but his, um, his English was—was also not perfect, you know? So we both struggle a little bit to communicate the details of the agreement.",L2 Speech,Repetition + empathetic acknowledgment + processing difficulty,"The deponent was trying to understand what he was saying, but notes his English wasn't perfect either, so they both struggled to communicate the agreement details.","we struggled a little bit to communicate the details of the agreement . i-i was trying to understand what he was saying, but his English was not perfect, you know?","I-I was trying to understand what he was saying, but his English was—was also not perfect, you know? So we both struggled a little bit to communicate the details of the agreement."
105.0,"The, uh, the supervisor, she told me that I need to, to finish the report by Wednesday. But I was confused because I thought—I thought she said Thursday before. So I ask her again to be sure.",L2 Speech,Filled pauses + repetition + confusion processing,"The deponent explains the supervisor told her to finish the report by Wednesday, but she was confused because she thought it was Thursday before, so she asked again to be sure.","the supervisor told me that I need to, to finish the report by Wednesday . but I was confused because I thought—I thought she said Thursday before .","The supervisor told me that I need to finish the report by Wednesday, but I was confused because I thought—I thought she said Thursday before."
106.0,"In my country, we, we do this process differently, yes? So when I see the American way, I was, um, I was surprised and needed time to, to understand the correct procedure for filing the paperwork.",L2 Speech,Cultural reference + repetition + processing time,"The deponent explains that in her country they do this process differently, so she was surprised by the American way and needed time to understand the correct paperwork filing procedure.","in my country, we do this process differently, yes? so when i see the american way, i was surprised and needed time to understand the correct procedure .","In my country, we do this process differently, yes? So when I see the American way, I was surprised and needed time to, to understand the correct procedure for filing the paperwork."
107.0,"He was, uh, he was angry, I think. His face was, how do you say, red? And he was speaking very loud to the other employees. I feel uncomfortable, so I leave the room quickly.",L2 Speech,Processing + word searching + emotional response,"The deponent thinks he was angry, describing his red face and loud speaking to other employees, which made her feel uncomfortable so she left the room quickly.","cnn's john sutter talks to a man who was angry, angry and angry . he says he feels uncomfortable, so he leaves the room quickly .","I feel uncomfortable, so I leave the room quickly. I feel uncomfortable, so I leave the room quickly."
108.0,"The computer system, it was—it was not working properly that day. I try many times to, to login, but always it shows error message. So I go to IT department for help with this problem.",L2 Speech,Repetition + processing difficulty + sequential narrative,"The deponent explains the computer system wasn't working properly that day, and despite trying many times to login, it always showed error messages, so she went to IT for help.","the computer system, it was—it was not working properly that day . I try many times to, to login, but always it shows error message .","I tried many times to, to login, but always it shows error message. So I go to IT department for help with this problem."
109.0,"I want to explain that the, the delay was not my fault, you understand? The shipping company, they deliver the materials one week late, and this make everything—everything behind schedule for our project.",L2 Speech,Emphasis + confirmation seeking + consequence explanation,"The deponent wants to explain the delay wasn't her fault, noting the shipping company delivered materials one week late, which put everything behind schedule for the project.",the shipping company delivers the materials one week late . this makes everything—everything behind schedule for our project .,"I want to explain that the delay was not my fault. The shipping company, they deliver the materials one week late, and this make everything—everything behind schedule for our project."
110.0,"Um, the contract, I read it very carefully, yes, but some words, some legal words I don't understand completely. So I, I ask my colleague to help me to understand the meaning of these terms.",L2 Speech,Processing + acknowledgment of limitation + help-seeking,"The deponent read the contract carefully but didn't completely understand some legal words, so she asked her colleague to help her understand the meaning of these terms.","some words, some legal words i don't understand completely . i ask my colleague to help me to understand the meaning of these terms .","I read the contract very carefully, but some words, some legal words I don't understand completely. So I, I ask my colleague to help me to understand the meaning of these terms."
111.0,"The customer, he was—how can I explain—he was not happy with the service, I think. He speak very fast and I, I cannot catch all the words, but I understand he want to cancel the order, yes?",L2 Speech,Word searching + comprehension difficulty + confirmation,"The deponent explains the customer wasn't happy with the service, noting he spoke very fast and she couldn't catch all the words, but understood he wanted to cancel the order.","the customer was not happy with the service, I think . he spoke very fast and I, I cannot catch all the words, but he want to cancel the order, yes?","The customer was not happy with the service, I think. He spoke very fast and I, I cannot catch all the words, but I understand he want to cancel the order, yes."
112.0,"When I arrive to the office—arrived, sorry—when I arrived to the office, the door was already open. This is, um, this is strange because usually I am the first person to come in the morning.",L2 Speech,Grammar self-correction + observation,"The deponent says when she arrived at the office the door was already open, which was strange because she's usually the first person to come in the morning.","when i arrive to the office, the door was already open . usually, i am the first person to come in the morning .","When I arrive to the office—arrived, sorry—when I arrived to the office, the door was already open."
113.0,"I remember the date very clear—clearly—because it was my daughter birthday. She turn, um, she turned eight years old that day, so I know for sure it was March fifteenth.",L2 Speech,Adverb correction + tense correction + certainty,"The deponent remembers the date clearly because it was her daughter's birthday when she turned eight, so she knows for sure it was March fifteenth.","she turned eight years old that day, so I know for sure it was March 15th . cnn's john sutter remembers the date very clearly because it was her daughter's birthday .",I remember the date very clearly—clearly—because it was my daughter's birthday.
114.0,"The, the training session, it last—lasted—for three hours, maybe more. We have to, we had to complete many exercises, and some of them were, how to say, complicated for me to understand at first.",L2 Speech,Tense corrections + word searching + difficulty acknowledgment,"The deponent says the training session lasted for three hours or more, and they had to complete many exercises, some of which were complicated for her to understand at first.","the training session lasts for three hours, maybe more . some of the exercises were, how to say, complicated for me to understand .","The training session, it last—lasted—for three hours, maybe more. We have to, we had to complete many exercises, and some of them, how to say, complicated for me to understand at first."
115.0,"My manager, she explain to me—explained, sorry—she explained that I must to follow the new protocol. But the instructions, they were in, um, in technical English, so I need extra time to study them carefully.",L2 Speech,Tense correction + modal construction + language barrier,"The deponent's manager explained she must follow the new protocol, but the instructions were in technical English, so she needed extra time to study them carefully.","the instructions are in technical English, so i need extra time to study them carefully . my manager explain to me that i must follow the new protocol .","My manager, she explained to me—explained, sorry—she explained that I must to follow the new protocol. But the instructions, they were in technical English, so I need extra time to study them carefully."
116.0,"I-I notice something was wrong when the, when the numbers don't match—didn't match. So I check again and again, maybe three or four times, to make sure I was not making mistake myself.",L2 Speech,Repetition + tense inconsistency + verification process,"The deponent noticed something was wrong when the numbers didn't match, so she checked three or four times to make sure she wasn't making a mistake herself.","when the numbers don't match, I check again and again to make sure I wasn't making a mistake . i-I-I check again, maybe three or four times, to see if I made a wrong decision .","I notice something was wrong when, when the numbers don't match—didn't match. So I check again and again, maybe three or four times, to make sure I was not making mistake myself."
117.0,"The email, it was send—sent—on Monday morning, I believe. But the, um, the attachment, it was too large, so the email bounce back. I have to compress the file and send again.",L2 Speech,Passive voice attempt + technical issue explanation,"The deponent believes the email was sent Monday morning, but the attachment was too large so it bounced back, and she had to compress the file and send it again.","the attachment was too large, so the email bounce back . i have to compress the file and send again .","The email was sent on Monday morning, I believe. But the attachment was too large, so the email bounced back."
118.0,"During the conference call, I, I try to explain our position, but the connection was, was not good. Sometimes my voice cut off, and I have to repeat myself many times. It was, how you say, frustrating experience.",L2 Speech,Technical difficulty + repetition + emotion expression,"The deponent tried to explain their position during the conference call, but the connection was poor and her voice cut off, requiring her to repeat herself many times in what was a frustrating experience.","bob greene: sometimes my voice cut off, and i have to repeat myself many times . he says the connection was, how you say, frustrating experience .","During the conference call, I try to explain our position, but the connection was, was not good. Sometimes my voice cut off, and I have to repeat myself many times."
119.0,"I work with him for, for two years now—no, wait, almost three years. Time pass so quickly, yes? He always very professional, but that day he seem, he seemed different, more stress than usual.",L2 Speech,Time correction + observation + tense mixing,"The deponent has worked with him for almost three years, noting time passes quickly, and while he's always professional, that day he seemed different and more stressed than usual.","bob greene: i work with him for, for two years now—no, wait, almost three years . he always very professional, but that day he seemed different, more stress than usual, he says . greene says he's a good guy, but he doesn't seem to have a lot of energy .","I work with him for two years now—no, wait, almost three years. He always very professional, but that day he seem, he seemed different, more stress than usual."
120.0,"The accident happen—happened—in front of the building main entrance. I was inside, but I hear a loud noise, like, like something crash. So I run outside to see what, what was the problem.",L2 Speech,Tense correction + sound description + action sequence,"The deponent says the accident happened in front of the building's main entrance, and though she was inside, she heard a loud crash-like noise and ran outside to see what the problem was.",a loud crash happened in front of the building's main entrance . the accident happened and i ran outside to see what was the problem .,"I was inside, but I hear a loud noise, like, like something crash. So I run outside to see what, what was the problem."
,,,,,,
121.0,"I think I saw him leave around two o'clock, but I'm not entirely certain about the exact time. It could have been closer to two-thirty, actually. You know, I was quite busy that day with the quarterly reports, so I wasn't really paying close attention to people coming and going. I suppose it's possible I'm confusing that day with another day that week, but I'm fairly sure it was Tuesday. Sorry if that's not very helpful.",Women's Speech,Multiple hedges across sentences ,"The deponent thinks she saw him leave around two o'clock but isn't certain of the exact time, possibly two-thirty, and was busy with quarterly reports so wasn't paying attention to people coming and going, acknowledging she might be confusing Tuesday with another day that week, though she's fairly sure it was Tuesday.","it's possible I'm confusing that day with another day that week . it could have been closer to two-thirty, though .","I think I saw him leave around two o'clock, but I'm not entirely certain about the exact time."
122.0,"Well, from what I remember, and please correct me if I'm wrong, the meeting was supposed to start at ten. But I think there was some confusion about the room booking, you know? Someone mentioned that maybe the calendar wasn't updated properly. I don't want to blame anyone specifically, but it seems like there might have been a miscommunication between departments. At least, that's the impression I got from the emails afterwards.",Women's Speech,Collaborative storytelling and uncertainty,"The deponent remembers the meeting was supposed to start at ten but thinks there was confusion about the room booking, possibly due to the calendar not being updated properly, and believes there might have been a miscommunication between departments based on her impression from subsequent emails.",the meeting was supposed to start at 10 a.m. et . but it seems like there might have been a miscommunication .,"I don't want to blame anyone specifically, but it seems like there might have been a miscommunication between departments."
123.0,"I believe the contract was signed in March—no wait, actually it might have been early April. I'm sorry, I should have checked my records before coming here. I remember it was around the time of the spring conference, but I can't recall the exact date. If I had to guess, I'd say probably the first week of April, but I could be mistaken. Would it help if I looked through my emails later and got back to you with the specific date?",Women's Speech,Self-correction and apologetic hedging ,"The deponent believes the contract was signed in March but then corrects to possibly early April, apologizing for not checking records beforehand, remembering it was around the spring conference but unable to recall the exact date, guessing probably the first week of April while acknowledging possible error and offering to check emails later.","I think the contract was signed in March—no wait, actually it might have been early April . if I had to guess, I'd say probably the first week of April, but i could be mistaken .","I'm sorry, I should have checked my records before coming here. I remember it was around the time of the spring conference, but I can't recall the exact date."
124.0,"So, I was working late that evening because I need to—needed to—finish the presentation for next day. The office was very quiet, only maybe two or three people still there. Then I hear—heard—someone in the supply room, making lot of noise, like they were looking for something, you understand? I go to check what is happening, and I see the new employee, he was taking boxes of, um, office supplies. When he see me, he just leave everything and walk away very fast. I didn't know what to do, so I just go back to my desk.",L2 Speech,Extended narrative with processing difficulties ,"The deponent was working late to finish a presentation for the next day when the office was quiet with only two or three people present, heard someone making noise in the supply room, went to check and saw the new employee taking boxes of office supplies, who then left everything and walked away quickly when he saw her, and she didn't know what to do so returned to her desk.","bob greene: i was working late because I need to—needed to—finish the presentation for next day . greene says he hears someone in the supply room making lot of noise . when he sees me, he just leave everything and walk away very fast .","I was working late that evening because I needed to—needed to—finish the presentation for next day. The office was very quiet, only maybe two or three people still there. Then I hear—heard—somebody in the supply room, making lot of noise, like they were looking for something, you understand? I go to check what is happening, and I see the new employee, he was taking boxes of office supplies. When he sees me, he just leave everything and walk away very fast."
125.0,"In my previous company in Brazil, we have—we had—different system for reporting these things, yes? Here, I was not sure about the correct procedure. I try to ask my supervisor, but she was in meetings all day. So I wait until next morning to report the incident. Maybe I should have email her immediately, but in my culture, we don't like to, how do you say, interrupt the boss when they are busy. I realize now maybe this was mistake on my part.",L2 Speech,Cultural perspective with language processing ,"The deponent explains that her previous company in Brazil had a different reporting system and she was unsure about the correct procedure here, tried to ask her supervisor who was in meetings all day, so waited until the next morning to report the incident, noting that in her culture they don't interrupt busy bosses, and now realizes this may have been a mistake.","in my previous company in Brazil, we have—we had—different system for reporting things . maybe I should have email her immediately, but in my culture, we don't like to interrupt the boss .","In my previous company in Brazil, we have—we had—different system for reporting these things, yes? In my previous company in Brazil, we have—we had—different system for reporting these things, yes?"
126.0,"The computer system, it crash—crashed—around eleven o'clock that morning. I was entering the data from the invoices when suddenly the screen freeze. I wait maybe five minutes, ten minutes, but nothing happen. So I try to restart the computer, but when it come back on, all my morning work was gone. The IT person, he explain to me later that the, um, the automatic save function was not working properly that day. He say something about server problems, but I don't understand all the technical words he use.",L2 Speech,Technical explanation with comprehension challenges ,"The deponent reports the computer system crashed around eleven o'clock that morning while entering invoice data, the screen froze and after waiting five to ten minutes she restarted the computer but all morning work was lost, and IT later explained the automatic save function wasn't working properly due to server problems she didn't fully understand.","bob greene says he was entering data from invoices when suddenly the screen freeze . greene: when it come back on, all my morning work was gone . he says the IT person said something about server problems, but he don't understand it .",The computer system crashed around eleven o'clock that morning. I was entering the data from the invoices when suddenly the screen freeze.
127.0,"I think—well, I'm pretty sure—the incident happen around lunchtime, maybe twelve-thirty or one o'clock? I was in the break room, heating my, my lunch in the microwave, when I hear the alarm go off. At first, I wasn't sure if it was real emergency or just practice, you know? We have—we had—so many false alarms recently. But then I see people running towards the exits, so I leave my food and follow them outside. I'm sorry I cannot be more specific about the exact time. Everything happen so quickly, and I was, how do you say, confused about what was going on.",Women's Speech ,Mixed features,"The deponent thinks the incident happened around lunchtime, maybe twelve-thirty or one o'clock, when she was heating lunch in the break room and heard an alarm, initially unsure if it was a real emergency or practice due to recent false alarms, but saw people running to exits so left her food and followed them outside, apologizing for not being more specific about the time as everything happened quickly and she was confused.",bob greene was in the break room when he hears an alarm go off . he says he wasn't sure if it was real emergency or just practice . greene: we have had—we had—so many false alarms recently .,"I was in the break room, heating my, my lunch in the microwave, when I hear the alarm go off. At first, I wasn't sure if it was real emergency or just practice."
